Pris,Area,Avgift,Rum
3010000,42.5,1852,2
3300000,45,3212,2
2800000,32,2829,2
8650000,96,3696,3
10200000,116,4844,6
8300000,82.5,4286,3
3500000,41,2050,2
2240000,20.5,1559,1
2350000,24,1443,1
3150000,33.5,1857,1
7200000,75,3418,3
2160000,23,1880,1
5780000,62,3829,2
4250000,74,3864,2
3925000,52,3037,2
6200000,62,2566,2
4900000,52,3012,2
2620000,33,2078,2
4225000,52,2089,1
12800000,110,3949,3
3180000,31,1375,1
4995000,63,3250,2
2775000,35,1464,2
5200000,54,1869,2
3800000,35,1562,1
3300000,41,2167,2
2600000,29.5,1589,1
9100000,86,3685,3
7400000,83,4448,3
9800000,107,1205,4
3370000,38,2094,2
3550000,32,1886,2
3550000,36,1842,2
3700000,46,2062,2
2500000,23.5,1467,1
7700000,86.5,2834,3
10400000,86,4937,4
3950000,41,2277,2
4320000,65,2968,2
6200000,59,3250,2
4900000,55,2103,2
5800000,75,3203,3
8300000,90,4562,4
4275000,34,1454,1
5910000,63,2979,2
4075000,46,1650,2
7110000,74,3355,3
8700000,81,2480,4
4825000,60,3108,2
3700000,38,2362,2
11980000,139,6084,3
3900000,42,2400,2
6120000,73,3238,2
5525000,61,3379,2
6025000,59,2358,2
3200000,33,1732,1
4900000,55,3030,2
6200000,54,1798,2
2675000,26,1827,1
5745000,71.5,1740,2
8200000,89.5,4312,3
4200000,41,2913,2
3e+06,34.5,2810,1
6400000,79,3612,3
8100000,76,3635,3
8650000,111,5546,4
3e+06,40,2797,2
3900000,44,2055,2
4910000,50,1521,2
1.1e+07,137,6912,5
3600000,47,2623,2
3200000,35,2367,2
4887500,58,2689,2
13590000,133,3432,5
6100000,71,2856,3
6200000,61,2942,2
3500000,36,1569,1
5950000,60.1,2534,2
11850000,114,5042,4
5700000,76,3835,3
4450000,38,1795,2
3920000,56.5,4359,3
2800000,33,1788,1
3725000,34,1680,2
4450000,40,1172,2
3230000,45,2518,1
4700000,72,3801,3
3345000,42,2695,2
5250000,60,882,2
4700000,52,2949,2
5350000,64,3000,2
2100000,20.5,1100,1
5475000,52,2884,2
4515000,51,2489,2
5450000,66,3105,3
3e+06,32,1946,1
9850000,97,2348,4
8400000,97,3572,3
5750000,58,3149,2
4750000,64.5,2483,2
3210000,32,1819,1
4100000,35,1311,2
4850000,51,3363,2
2e+06,24,1004,1
2950000,35,2002,2
8100000,84,4563,4
8e+06,83,4615,3
2950000,32,1763,1
9100000,95,2789,3
6200000,61,1819,2
4025000,45,1916,2
5300000,64,2686,2
2300000,23,1415,1
6120000,57,1142,2
5350000,57,2455,2
4605000,55,2940,2
2250000,24,1217,1
2350000,22,1359,1
5900000,56,2334,2
2350000,24,1209,1
6400000,79,3802,3
3500000,35,2106,1
4075000,43,2039,2
4950000,54,2816,2
4900000,46,1381,2
3100000,30,1792,1
5700000,69,3670,2
2250000,19,1862,1
4760000,66,4291,3
3400000,47,2623,2
3585000,48.5,3368,2
3450000,44,1991,1
5450000,64,3347,3
2775000,29,2214,1
7500000,98,4080,5
5850000,65,4029,2
4e+06,43,1472,2
7650000,75,1616,3
8200000,90,4645,3
4375000,62,3727,2
6900000,63,1883,2
13300000,112,3596,4
6300000,71,2912,3
4600000,66,3675,3
5495000,75,3672,4
18200000,164,5158,6
9750000,106,3576,4
7400000,58,3021,2
5800000,57,3493,2
5700000,56,1749,2
2250000,26,2208,1
3525000,38,2139,1
7280000,72,3616,2
5150000,67,2897,2
6800000,69.5,3721,3
6400000,76.5,2282,3
6400000,85,4444,3
5500000,68,3076,3
5770000,67,3869,3
3725000,43,2477,2
5950000,82,4019,3
3300000,35,2088,1
10500000,99,3658,3
3075000,38,1873,1
3800000,49,2853,2
8750000,121.5,6977,5
3300000,37.5,2220,1
4750000,56,2800,2
3500000,34,1976,1
8500000,89,4384,3
6500000,92.5,4844,3
10350000,100,5569,4
2950000,23,1591,1
6e+06,85,4604,4
2665000,30,1128,1
6740000,80,3428,3
5e+06,59.5,496,2
7800000,96,5424,4
7300000,63,2435,2
