Pris,Area,Avgift,Rum
3180000,31,2019,1
3250000,39,1841,2
4725000,50,2379,2
4200000,65,2799,2
2870000,37,1865,1
6775000,75,3729,2
6825000,76,3179,3
3125000,35.5,2387,2
5025000,65,4231,3
2575000,25,1454,1
9045000,140,6077,4
3550000,39,2000,2
5400000,55.6,3245,2
9700000,88,2722,4
11900000,90,3593,3
5775000,62,1477,2
1.7e+07,149,6958,5
10775000,105,3040,4
3970000,44,2283,2
15750000,157,8273,5
5800000,56,3536,2
14650000,145.4,4913,4
8150000,94,3712,3
3800000,36,2404,1
5550000,57,2949,2
13650000,128,4320,4
8e+06,80,3203,3
6150000,52,996,3
11800000,116,5244,4
3535000,46,2497,2
4840000,51,2368,2
6450000,65,2521,2
7160000,74.1,2891,3
3780000,51,4031,2
3280000,37,1673,1
6300000,87,3608,3
4800000,34,1765,2
6240000,55,2956,2
5500000,56.5,3489,3
4400000,43,2038,2
8200000,89,5004,4
2310000,16,1216,1
6640000,83,4309,3
8530000,85,2098,3
3920000,46,2385,1
5850000,73,3557,2
9050000,83,2728,3
4350000,55,3317,2
9650000,104,5075,4
7810000,81,2386,3
4850000,74,2281,3
4320000,50,1731,2
3720000,38,1597,1
3400000,37,1899,1
2950000,34,2223,1
5800000,65,3288,3
5200000,53,164,2
2250000,19,1917,1
9500000,83,3744,3
7925000,84,2640,3
3600000,30,1918,1
3350000,31.5,2688,1
3800000,42,2407,2
5500000,69,2825,3
3500000,42,2249,1
9e+06,84,3116,3
3750000,50,3216,2
5070000,51.5,2466,2
3300000,37.5,2348,1
5650000,59,3433,2
4450000,41,964,2
3430000,38,1452,1
5775000,62,2599,3
4550000,40,2159,2
6200000,59,2521,2
3550000,38,1501,2
13850000,126,4856,5
4200000,51,2750,2
8450000,105,4888,4
13500000,104,5420,3
8300000,89,3331,3
5e+06,65,2812,2
3450000,28,628,1
15700000,145,6032,5
7910000,80,4445,3
3100000,33,1777,1
2750000,35,2041,1
13250000,117,1004,4
6100000,74,3990,3
4250000,55,3244,2
3400000,31,1016,1
3850000,38,2716,2
4835000,34,1178,2
4400000,43,2321,2
7550000,82,4274,3
5730000,58,3688,2
3025000,35,2060,1
4050000,37,2080,2
2800000,28,1442,1
11400000,97,3930,3
2950000,28,1104,1
3275000,36,2062,2
4400000,43.5,1811,2
5580000,59,3066,2
1.1e+07,102,5347,3
3300000,30,1506,1
4160000,35,1917,2
5375000,50,1128,2
9425000,64,2319,3
8165000,72,3464,3
3685000,32,2077,2
5610000,84,4261,3
3300000,30,1500,1
6150000,74,3348,2
9260000,81,2900,3
2800000,22,1559,1
6850000,78,4144,3
4400000,44,2941,2
6800000,84,2306,2
2700000,25,1527,1
9430000,85,3833,3
6750000,71,1355,3
5400000,52,3179,2
6330000,65,3387,2
5900000,61,3086,2
5600000,79,3384,3
4905000,55,2222,2
6410000,74,3376,2
3930000,46.5,3653,2
6700000,65,2042,2
3800000,34,1740,2
4250000,39,2086,1
4500000,46.5,443,2
2300000,17,895,1
5955000,56,2407,2
4500000,52,2243,2
8100000,103,6119,4
6500000,59,3657,2
6550000,81,3727,3
3050000,30,840,1
8650000,85,3881,3
6200000,67,3100,3
4300000,63.5,3175,2
7200000,86,3537,3
8250000,68.2,3342,3
6175000,58.2,2693,2
4850000,62,2850,3
3100000,28,1694,1
21500000,184,1230,6
2975000,32,1549,1
4500000,53,3179,2
1.9e+07,120,4176,4
3780000,36.5,1890,2
7950000,103,4378,4
5780000,73,4578,2
3400000,35,1980,1
20600000,167,6653,6
2800000,32,1445,1
2750000,27,1670,1
17200000,135,5804,5
3500000,36,1547,1
9500000,94,3604,4
8150000,73,3309,3
9800000,88,3274,3
27900000,186,5317,5
1.4e+07,109,4939,4
6550000,57,2576,2
6e+06,71,3805,4
2850000,33,1788,1
3320000,35,2072,2
9100000,89,5215,4
8300000,107,5554,4
2500000,25,1527,1
3050000,25,1009,1
7e+06,101,4113,4
2750000,26,1797,1
6300000,67,2662,2
4400000,47,1869,2
3320000,37,2737,2
3400000,39,2193,2
5750000,62,3360,2
11500000,109,6223,3
6600000,66,1613,3
4e+06,32,810,1
5300000,54,2807,2
3150000,28,1178,1
2850000,27,1558,1
3100000,27,1249,1
4275000,56,2674,2
5010000,63,3354,2
3325000,30,2111,2
4e+06,50,2760,2
4510000,56,2667,2
4e+06,35,1626,2
4040000,52,2718,1
8050000,68,3181,3
11500000,99,2805,4
3800000,43.2,2046,2
6870000,81,3034,3
3320000,44,2943,2
4200000,43,1491,2
5250000,50,1128,2
2600000,16,424,1
8100000,79,5706,3
6600000,72,4207,3
4125000,46,2794,2
4020000,42,2060,1
8550000,89,3320,3
2750000,23,1220,1
2695000,23.5,1260,1
2595000,23,1220,1
8750000,86,2673,4
3220000,41,2040,1
6650000,63,2753,2
2600000,24.5,1374,1
4200000,37,1150,2
2850000,28.5,1903,1
7130000,67,2809,3
4400000,46,2062,2
7200000,114,6640,5
11400000,125.2,4125,4
3360000,40,2260,2
5700000,56,2591,2
3950000,42,2333,2
8200000,85,3756,4
4650000,46,2024,1
5215000,57,2217,2
2800000,24,1382,1
4925000,53,2993,2
7575000,82,3542,3
10500000,85,4966,3
5025000,57,4512,2
4630000,45,1674,2
5950000,61,3409,3
9250000,101,5215,4
4200000,44,3071,2
4850000,56,2800,2
2910000,28,1795,1
3500000,43,2337,2
3830000,37,2145,2
7600000,95,3503,4
5260000,53,1514,2
3100000,33,1968,1
7525000,64,2763,2
2.5e+07,211,7965,5
3600000,42,1173,1
6750000,55,1634,3
1.5e+07,127,4374,4
3350000,29,1910,1
5900000,58,2394,2
4360000,44,2043,2
2995000,27,1873,1
7500000,73,4089,3
3250000,29,1848,1
4100000,36,742,2
9050000,99,3944,3
5540000,56,2601,2
2495000,24,1346,1
2695000,23.5,1260,1
2395000,21.6,1181,1
2595000,23.4,1220,1
3350000,31.1,1536,2
2595000,23.4,1220,1
2495000,24,1346,1
3e+06,35,2510,1
3500000,31,823,1
5870000,59,3573,2
3e+06,37,2115,1
4400000,44,2182,2
4250000,44,2337,2
9200000,78,854,3
7120000,80,4195,3
4600000,48,1319,2
6260000,52,1381,2
3010000,22,1036,1
4010000,49,2177,2
2830000,31,1406,1
3210000,42,2565,1
3320000,36,2905,2
4530000,40,3172,2
11600000,111,4238,4
2750000,22,1094,1
3800000,48,2995,2
7700000,82,3305,3
6450000,56,2699,2
7185000,63,2987,3
11800000,125,4523,4
4900000,57,2480,2
5500000,72,4183,3
7300000,75,3111,3
7200000,69.5,3234,2
3140000,42,2494,2
3400000,33,2181,2
2800000,25.5,1258,1
4400000,49,2221,2
2750000,25,1737,1
4500000,62,2993,2
4275000,54,3489,2
7600000,80.5,3904,3
4950000,49,2856,2
6630000,56,2561,2
3060000,19,1298,1
4600000,54,2061,2
4400000,47,2757,2
7840000,84,4010,3
9925000,97,3748,3
5200000,70,3914,2
6375000,60,3086,2
3e+06,41,1323,1
5600000,68,3425,3
4150000,40,760,1
5735000,59.8,3532,2
4750000,53,2453,2
3500000,42,2213,1
7900000,79,3026,3
6850000,85,4689,3
6100000,66,2606,2
6500000,51,2023,2
4180000,34,989,2
3920000,39.5,2407,2
4825000,51,3057,2
3950000,42,2585,2
2850000,30,874,1
8500000,65,3194,3
3700000,30,1208,1
5e+06,42,1844,2
5900000,77,4812,3
7450000,81,2803,3
2400000,22.5,1069,1
2860000,25,2206,1
8300000,97,5500,4
3105000,41,2836,2
2600000,19,1679,1
3400000,43,2459,2
3400000,39,2000,1
2950000,36,1438,1
8e+06,70,2756,3
7e+06,79,3764,3
8500000,85,4869,4
3575000,40,2167,2
2950000,43,2214,1
5575000,59,3413,2
5600000,56,1993,2
3100000,37.5,1782,2
7600000,71,3984,3
7300000,71,5226,3
5900000,57,1111,2
3150000,40,2175,1
2250000,16,928,1
4250000,44,2580,2
8100000,65,3950,3
5200000,60,2235,3
3400000,30,1458,1
3012500,34,1380,1
4250000,38,908,1
3400000,44.2,2941,2
1e+07,80,4459,3
7025000,75,2865,3
4625000,48,1860,2
9300000,99,2455,3
10200000,84,1711,3
6125000,65,3648,2
3360000,38,2123,2
3600000,40,1689,2
2700000,33,2601,1
3300000,31,2279,2
1.4e+07,107,4359,5
4e+06,46,2484,2
4025000,38,1848,2
4600000,49,2153,2
7740000,86,4376,3
7080000,77,4273,3
3700000,35,2020,2
3200000,41,2260,2
3700000,34,2435,2
6875000,66,1902,3
9720000,106,4734,3
5760000,63,3297,2
3135000,38,2025,2
4070000,39,2083,1
3500000,40,3017,1
3350000,38.5,2700,2
2900000,24,1337,1
2430000,28,1881,1
5820000,66,3235,2
4310000,47,2032,2
3400000,37,2337,1
6e+06,67,2401,2
3500000,31,1278,1
4520000,48,2456,2
3800000,44,2166,2
3650000,35,2050,1
2775000,24,1665,1
5225000,50,2823,2
8595000,80,5874,3
3700000,54,2387,2
6125000,78.5,3244,3
3e+06,40,2661,2
2940000,34,1934,1
2825000,28,1810,1
2675000,28,1605,1
2940000,35,2510,1
5300000,52,2542,2
3345000,35,1568,1
6900000,97,4424,5
3010000,28,1796,1
5675000,67,2427,2
3920000,44,2656,2
5600000,66,3064,3
8e+06,85,4450,3
5400000,62.5,3204,2
4640000,41,1859,1
4850000,49,3526,2
6e+06,60,1010,2
1.6e+07,133,4022,4
2255000,22,1271,1
3250000,42,2641,1
4100000,58.5,3715,2
2650000,22,1673,1
8300000,90,4500,4
6800000,84,4998,4
4650000,66,3443,3
7600000,102,5601,4
3e+06,34,1863,1
7200000,74,3011,2
2850000,28,2355,1
5200000,43,1806,2
3060000,42.5,1756,2
10660000,111.2,3748,3
4310000,56.5,2825,2
4320000,46,1965,2
3500000,37,1946,2
11600000,114,5433,4
3100000,33,1819,1
4500000,42,912,2
2960000,30,1534,1
6695000,65,1837,2
7090000,66,2454,3
3265000,34,2011,2
1.2e+07,122,6400,4
4095000,43.5,2134,2
8400000,80,3954,3
3900000,40,2443,2
3420000,40,2467,1
7200000,67,2605,3
5400000,56,3059,2
4900000,54,1137,2
2850000,24,1714,1
6330000,58,3167,2
3200000,39.5,3028,2
4925000,62,2153,2
5275000,60,1775,2
5600000,58,2588,2
7200000,67,2894,3
6400000,57,3958,2
4450000,38,780,2
3040000,28,1762,1
7210000,63.3,1684,2
3200000,30,1317,1
3900000,35,1740,1
3050000,35.5,2073,1
5300000,56,2801,2
4430000,48,2348,2
4750000,40,1210,2
4625000,39,2134,2
7225000,63,2502,3
4900000,43,829,2
6500000,56,1610,2
3925000,35,1843,2
3700000,39,2721,2
4550000,49,2241,2
6900000,83,3495,4
3300000,25,787,1
4510000,49,577,1
4e+06,36,2212,2
6900000,73,4766,3
6215000,54,1769,2
2910000,38,2615,2
3300000,24,1513,1
4200000,46,3033,2
4650000,50,2500,2
2250000,21,1276,1
8650000,85,3533,3
3400000,37,1790,1
3600000,35,1750,2
4225000,35,973,1
4400000,36,2906,2
3817500,42,2415,2
3250000,32,2214,1
8700000,79,1457,3
5e+06,47,2292,2
10200000,85,4966,3
7e+06,71,3927,3
10300000,110,6557,4
3150000,34,2434,1
4500000,62,3727,2
4400000,49,2691,2
9600000,100,5325,4
3400000,29,1465,1
2900000,27,1419,1
6870000,80,4700,4
6300000,85.1,4005,3
8900000,72,3319,2
3950000,43.5,2134,2
5300000,44,2200,2
3095000,39.5,2991,2
3400000,36,1885,1
9400000,87,4500,3
6350000,70,1288,3
5810000,73,1776,3
7900000,94,6574,4
4900000,52,1937,2
3110000,30,2369,1
3450000,36.5,2302,1
5800000,87,3746,3
3050000,40,2661,2
3050000,43,2295,1
5575000,57.2,3211,2
3375000,33,1816,2
5150000,58,2991,2
4170000,58,3302,3
2950000,31,1911,1
5160000,63,3297,3
4550000,40,1867,2
6750000,75,3020,3
3400000,46.5,2779,2
3800000,37,1654,1
3310000,34,704,1
15260000,143,6132,5
10500000,80,2536,3
3700000,37,2244,2
7e+06,77,3861,3
4950000,59,3194,2
6700000,57,3593,2
2610000,17,949,1
3850000,38,2290,2
3500000,34,2778,2
3800000,52,2774,2
10450000,105.2,3669,5
3300000,28,1123,1
7050000,91.5,3573,4
7200000,87,4541,3
4550000,62,3727,2
3220000,26,1525,1
4700000,58.5,2290,2
6930000,82,2001,3
6360000,59,2898,2
3450000,36,2019,2
8600000,107.5,3974,5
12800000,129,6988,5
4175000,46.5,1930,2
9630000,123,4853,5
3300000,36,2077,1
5925000,47,1428,2
3625000,40,2129,2
5675000,63,3078,2
3005000,34,1934,1
7200000,73,3719,3
7300000,73,3517,3
5860000,48,1678,2
4050000,35,2673,2
4400000,57,3390,2
5700000,72,3641,2
3820000,41,2272,2
3875000,34,2094,2
4020000,44,2588,2
8200000,94,5218,4
4375000,40,1662,1
6600000,71,3598,3
4e+06,51,2922,2
4350000,47,2952,2
5225000,53,1707,2
6050000,58,1483,2
7400000,69,2207,2
3970000,47,2139,2
9800000,90,3354,3
9650000,98,2563,4
6025000,60,2551,2
10800000,89,3558,3
3120000,44,2620,1
3225000,37,1979,2
5850000,60,3413,2
10200000,101,4483,4
3300000,35,1480,1
10400000,135,4981,4
9851000,89,2727,3
3220000,32,1302,1
3650000,38,1748,2
6350000,78,4529,3
3850000,49,3733,2
3550000,36,1949,1
7050000,82.5,3640,3
4035000,40.5,2062,2
17200000,163,5705,5
6450000,66,3224,3
4100000,51,2884,2
5750000,61,3222,2
7570000,74,2733,3
8e+06,83,4155,3
5e+06,48,2526,2
8310000,101,4473,5
5950000,59,2941,2
3350000,44,3222,2
2500000,26,1438,1
2870000,24,2093,1
4050000,37.3,1563,2
2800000,25,1151,1
9400000,74,3527,3
3450000,41,2153,2
2830000,20,1371,1
7600000,81,4424,3
6150000,55,1911,2
8900000,89,3716,3
5500000,51,2710,2
4375000,38,1878,2
3940000,37,1597,2
4300000,54,2575,2
5075000,56,2866,2
4570000,52,2600,2
5500000,32,1989,2
11900000,166,3603,4
10900000,110.5,4395,5
4100000,53,3210,2
2930000,20,1371,1
3325000,38.5,2003,1
9700000,88,3787,3
5425000,68,5216,3
9500000,85,3793,3
3510000,39,985,1
12200000,102,4655,3
14100000,107,5236,3
8675000,108.5,3925,4
4650000,39,1215,2
2700000,30,2616,1
4110000,39,1447,1
10600000,81,3943,3
5600000,52,1600,2
6660000,55,2575,2
2775000,37,1885,1
3250000,24,1216,1
5250000,54,2900,2
9900000,102,4060,3
2900000,36,1453,1
13615000,122,2997,4
7425000,63,2578,3
6e+06,71,3987,3
3450000,33,1999,2
5500000,54,1952,2
9950000,119,5384,5
3430000,30,1995,1
11380000,101,4656,4
10100000,92,3099,3
3450000,39,2000,1
3340000,29,2114,1
2650000,26,1773,1
4080000,35,1293,1
4500000,51.5,2534,2
3850000,43.5,1861,1
6100000,81,3834,3
3400000,37,1343,1
3200000,31,1988,1
2870000,26,1452,1
3070000,30,1594,1
6425000,57,1845,3
5500000,57,3774,2
5725000,60,3011,2
7610000,66,2358,2
4550000,48,2638,2
5495000,63,1653,2
5320000,52,2665,2
6650000,58,2328,2
13500000,104,4125,4
4550000,51,3031,3
6840000,81,2949,3
4225000,39,1796,1
1.5e+07,133,3176,4
13500000,98,2284,3
1e+07,102,4984,3
5495000,50,1895,2
5820000,75,3268,3
23150000,163,5841,5
6475000,50,2149,2
7250000,63,2802,2
6025000,66,2748,2
9300000,76,2939,3
3800000,33,1774,2
3650000,32,3615,1
7600000,85,4936,3
7360000,71,3668,3
3400000,26,1963,1
6100000,58,2106,2
5250000,48,1904,2
4e+06,35,1783,1
2650000,24,1425,1
3650000,45,3369,2
7400000,84,4998,4
2825000,26,1664,1
6400000,70,3609,3
4750000,43,2183,2
3550000,40,2788,1
3400000,33,1984,1
1e+07,134,5735,4
3450000,38,1974,2
4300000,45,2091,2
6910000,76,2825,2
4400000,56.5,3764,2
4150000,42,2130,2
5800000,58,3040,2
9350000,83,2572,3
13550000,110,3888,4
5700000,71,3987,3
2700000,38,2673,2
2960000,30.5,1946,1
4510000,49,3778,2
2800000,23,1211,1
6275000,71,3912,3
9550000,71,3634,3
20250000,244,7638,6
4220000,38,1821,1
8305000,102,5724,5
3400000,39.5,3071,2
9250000,108,5080,4
5200000,60,2747,2
5850000,52,2144,2
2670000,21,1268,1
3900000,42,2713,2
4100000,28,1293,1
3125000,29,1956,1
6500000,69,3324,2
8100000,93,3071,3
6650000,63,3572,3
4600000,53,2906,2
3150000,38,1219,1
11600000,108,3902,4
3150000,34,1743,1
7300000,67,2319,2
5800000,65,2262,2
3800000,35,1698,1
4695000,53,2608,2
7350000,78,2283,2
2980000,24,1254,1
7950000,99.5,3633,4
20500000,139,4872,5
4900000,45.8,1953,2
4850000,54.4,3017,2
2750000,21,1070,1
2930000,36,1446,1
7750000,95.5,3503,4
18200000,154,6008,5
3725000,46,3065,2
4430000,45,2571,2
7e+06,76.5,4108,3
3300000,38,2112,2
5450000,57,3440,2
2860000,27,1715,1
5600000,63,2511,2
8900000,109,5916,4
3500000,31,1234,1
2980000,26,1142,1
6650000,81,4112,3
4200000,48,1818,2
8e+06,102,2995,4
7200000,72,4738,3
6800000,97.5,6279,4
4e+06,42,1879,2
8900000,83,1015,3
3750000,46,2937,2
3600000,41.5,1785,2
5150000,57,2292,2
6650000,57,2914,2
4600000,75.9,3350,3
8750000,76,3876,3
7500000,66,2983,3
4280000,38,2332,2
6100000,60,3056,3
8500000,74.5,2997,3
2720000,26,2195,1
6700000,93,2893,3
4175000,45,2091,2
5900000,78,2537,3
2800000,28,1578,1
4120000,50,2336,2
3050000,33,2220,2
5100000,57,2949,2
6350000,68,3246,3
6600000,134,8143,3
10700000,120,3799,4
3330000,34,2107,1
8400000,101,6668,3
3330000,38,1960,1
9600000,74,3402,2
4850000,66,2530,2
5900000,50,1308,2
6450000,86,4069,4
6070000,69,3070,2
4470000,42,1878,2
2450000,24,1461,1
11400000,97,4877,3
4400000,65,3334,2
6670000,68,2170,2
7450000,68,3091,3
8350000,104,5295,4
9375000,84,3352,3
3450000,39,2453,2
6e+06,61.1,2719,2
6050000,65,3073,2
4750000,58,2747,2
3490000,38,2137,2
5200000,46,1524,2
3900000,32,1627,2
4650000,50,2700,2
3050000,42,2468,2
3200000,35,1685,1
4090000,45.5,2219,1
6740000,84,3760,3
4800000,60,2570,2
7325000,89,4677,3
7500000,88,4875,4
4925000,64,3174,3
5600000,76.5,4568,3
5160000,82,3856,3
7200000,84,3883,3
2950000,27,1715,1
2850000,24,1740,1
5850000,54,2373,2
4500000,40,2658,2
2825000,27.5,1616,1
6450000,64,4698,3
3725000,38,2335,2
2100000,17,1745,1
12600000,102,4072,3
14600000,117,4741,4
10540000,114,4381,5
5940000,67.4,2919,2
5900000,75,3531,3
5e+06,45,2163,2
7950000,74,2315,3
2600000,23,1638,1
10250000,86,3593,3
3570000,38,1907,1
3200000,31.5,1968,1
6080000,59,1869,2
8e+06,101,5297,3
3950000,48,1600,2
6940000,83,3771,4
11900000,120,5578,4
6400000,58,2315,2
3250000,26,1426,1
4760000,46.5,1932,2
4e+06,40,1960,2
5950000,64,3252,2
3120000,36,2187,1
3915000,43.5,2134,2
5375000,63,3215,2
4125000,34,1142,1
11550000,104,4693,4
8300000,95,6718,5
5550000,59,2992,2
3660000,33,1235,1
3800000,37.5,1646,2
3235000,38,2046,1
4e+06,42,2036,1
4985000,50,2169,2
3450000,46,2472,2
4300000,46,2263,2
3925000,49,2257,2
7200000,76.5,3386,3
4800000,36,1371,2
6e+06,58,2905,2
6280000,54,1960,2
3080000,37.5,2051,1
6700000,58,1558,2
7100000,79,4342,3
6800000,68,3906,3
4600000,41,1411,2
12650000,117,4536,5
4750000,67,3248,3
3650000,41,1738,1
7400000,63,2778,3
4725000,65,3981,2
2940000,27.5,971,1
3175000,28,64,1
7725000,118,7238,5
3190000,30,1715,2
2675000,29,1235,1
4300000,43,1541,2
7525000,80,3981,3
7900000,84,2750,3
7500000,102,5601,4
3350000,44.2,2941,2
3075000,36,1684,1
7700000,77,2996,3
13500000,151,6652,5
5350000,60,2628,2
9100000,76,2935,3
2.2e+07,143,4127,5
5e+06,69,3095,2
7900000,103,4378,4
2850000,26,2253,1
9350000,102.8,3613,4
6600000,85.5,4089,3
7700000,73,1793,3
8300000,46,2300,2
2500000,25,1452,1
3350000,46,2427,1
2950000,43,2218,1
4050000,56.8,3538,2
15900000,125,4603,5
16650000,206,6611,5
11250000,149,7642,5
5400000,50,2035,2
3e+06,40,2427,2
3900000,38,2152,2
8400000,71,1838,3
5200000,47,2500,2
5e+06,57,2607,3
5925000,69,3018,3
3910000,50,3357,2
5200000,72,4108,2
5900000,60,2532,2
6900000,75,2887,3
4700000,62,1586,2
6080000,62,2530,2
5810000,66,3147,3
4300000,44,2904,2
6100000,64,4314,3
3100000,25,950,1
6400000,63,3157,3
3800000,39,2664,2
5550000,58,2506,2
2995000,29,1812,1
2975000,32.7,2271,2
3950000,45,1751,2
7400000,93,4466,3
9500000,85,2075,3
3375000,33,1468,2
3300000,25,946,1
6100000,69,3524,2
2660000,26,919,1
4e+06,48,2712,2
4700000,40,1866,2
4250000,47,1244,1
3400000,40,2169,1
7650000,86,4200,3
4225000,46,2337,2
5e+06,50,2379,2
3235000,31,1901,1
4300000,48,2257,2
4020000,47,1705,2
4500000,67,3436,2
6050000,81,3999,3
2775000,38,2480,2
5800000,65,3743,3
9200000,92,2668,3
3850000,37,1769,2
12700000,103,3725,3
7600000,78,4767,2
4545000,46,1917,2
5990000,52,2853,2
6e+06,62,2826,2
12325000,86,3403,4
5850000,57,2534,2
5350000,59,2861,2
3700000,33,1815,1
5650000,55,2240,2
3450000,35,2614,2
4020000,48,3321,2
3380000,36,1347,1
3450000,41,2260,2
4700000,57,3288,3
5350000,69,2653,2
9500000,108,4417,4
2925000,31,1864,1
10825000,88,3869,4
8e+06,69,1825,3
5545000,69,5057,3
5900000,67,3979,3
10100000,96,5424,4
5e+06,47,2456,2
4400000,39,2023,2
2925000,29,2146,1
4200000,34,1235,1
7160000,90,5695,3
5230000,67,2670,2
4050000,45,1859,2
2800000,40,2073,1
6055000,60,2254,2
3425000,35.6,1562,1
6675000,67,1644,3
3130000,33,2128,1
9500000,94,3604,4
3720000,46,3642,2
4950000,53,2202,2
3760000,37,1907,2
4500000,50,2019,2
4950000,54,2225,2
2925000,38,2233,2
2950000,21,1074,1
4500000,57,3236,2
6e+06,71,3217,2
4700000,41,1767,2
11200000,93,4050,3
3230000,35.5,2315,2
14600000,146,1118,5
8260000,66,3854,2
7225000,73,3527,3
9075000,93,2915,3
4175000,53,2683,2
2740000,23,1102,1
3200000,25,1163,1
5150000,68,2962,3
10500000,107,3960,5
8100000,75,2696,2
3e+06,37,2550,2
3030000,28,1663,1
4950000,69,3823,3
16900000,138.5,8424,6
8725000,109,6686,4
5450000,57,2890,2
3660000,55,3184,2
2850000,26,650,1
6400000,59,2496,2
3800000,36,1798,2
8100000,59.4,2751,2
4300000,44,2954,2
8150000,100,4285,4
4450000,40,3172,1
5100000,47,1858,2
3640000,38,1492,2
7675000,75,2857,2
2350000,22,1407,1
4725000,50,1996,2
4415000,44,3046,2
4775000,43,2234,2
6900000,91.5,3573,4
5500000,53,2862,2
6100000,62,2812,2
5500000,69,2437,2
7e+06,67,2680,2
2920000,39.5,2947,2
2600000,29,2215,1
3010000,36,2477,1
4600000,47,2374,2
3710000,45,1859,2
3830000,43,2329,2
3625000,39,2134,2
9750000,105,4423,4
3400000,43,2459,2
2850000,30,1750,1
3e+06,33,2218,1
2760000,42,1733,1
3590000,36,1740,1
5550000,86,5205,3
8100000,99.5,3633,4
6750000,71,3182,3
9e+06,63,2961,2
7750000,62,1918,2
4e+06,42,2258,2
5020000,44,1235,2
3380000,40,2885,1
4500000,59,2795,2
5100000,67,3250,3
6350000,67,1856,2
7060000,71,2558,3
8650000,84,3316,3
3390000,44.2,2941,2
4280000,39,2133,1
7550000,72,3179,3
10750000,77,3463,2
3410000,33,2031,1
7375000,68,2648,3
4270000,37,1458,2
3200000,36,2360,1
4550000,57,2637,2
3100000,33,1788,1
4125000,63,3706,2
7e+06,85,4041,3
13225000,145,5735,5
3400000,40,2208,1
3300000,29,1279,1
7200000,52,2430,2
3220000,32,1340,1
3670000,35,1887,2
4e+06,39,1159,2
4030000,46,2266,2
3625000,43,1682,2
3900000,46,1139,1
6550000,53,1646,2
3530000,35.5,2387,2
3765000,43,1960,2
6420000,56,2791,2
1.6e+07,146,1975,6
3500000,47,2848,2
5500000,60,2767,2
9600000,85,5749,3
3300000,32,2521,1
3310000,39,1843,1
3100000,28.5,1631,1
6e+06,58,3219,2
7350000,71,2910,2
5350000,70,4471,2
3750000,34,2094,2
9200000,85,4966,3
4025000,46,2484,2
6750000,73,4142,2
27400000,194,4613,5
4900000,71.5,4342,2
4900000,56,2704,2
3950000,43.5,2391,2
5300000,55,2753,2
15200000,165,8603,5
7800000,78,3806,3
5800000,66,4318,2
8400000,109.5,4340,4
8550000,108,5819,4
13800000,142,5310,5
6500000,63,3847,3
8310000,83,2893,3
2400000,20,1182,1
8600000,102.5,4842,3
3450000,34,1673,1
4025000,45,2137,2
6350000,82,4271,3
8200000,89,3831,3
7650000,77,4516,3
5950000,63,3866,2
3260000,35.5,1968,2
3200000,32,1932,1
4300000,48,3329,2
3420000,44.2,2941,2
7600000,83,3990,3
3600000,33.5,1856,1
9600000,88,5897,3
7575000,93,3826,3
8500000,110,5499,4
5650000,59,2920,2
6e+06,82,5299,3
6350000,58,3081,2
4900000,51,2550,2
2995000,26,1408,1
3405000,39,1895,1
4e+06,37,1867,2
3100000,30,1406,1
6300000,88,4981,4
6350000,68,3263,2
6600000,74,3432,2
2920000,25,1715,1
8800000,79,4667,3
7e+06,71,3493,3
7100000,57,1374,2
1e+07,98,4975,3
6150000,55,1667,2
10400000,93,4310,4
5525000,65,3179,3
3300000,29,1646,2
9100000,108.5,4615,4
5550000,63,2955,2
3010000,16,1077,1
7130000,65,3250,2
3305000,43,2459,2
3780000,39,1073,2
2955000,26,1337,1
5900000,72,3111,3
3075000,39,2013,2
6325000,75,1647,3
5270000,47,2830,2
3670000,54,1782,2
5850000,65,1639,2
3250000,39,1947,2
3220000,29,1359,1
6500000,65,4026,3
3650000,43.5,2264,2
3275000,43,2838,2
5700000,78.5,4525,3
2550000,26,1812,1
3435000,49.7,1774,1
8100000,84,3017,4
3748000,40,1914,1
6400000,67,3460,3
4e+06,42,1705,2
8350000,88,3583,4
2695000,18,930,1
4e+06,43.5,1959,1
7500000,63,2237,2
4100000,39.5,3129,2
10250000,102,4255,4
2650000,22,1673,1
2800000,23,947,1
4995000,55,3105,2
9750000,98.5,4847,4
14900000,115,2497,3
15800000,134,4367,3
7550000,59,2358,2
3800000,40,1654,2
5e+06,57,3170,2
3940000,34,1325,1
12650000,101,3821,4
4140000,42,2440,2
6550000,71,2365,3
8250000,88,1798,4
2895000,27,1405,1
5200000,75,4114,3
3930000,39.4,1930,2
5600000,63,2706,2
4650000,44,1778,2
4625000,53,3495,2
5510000,71,3376,2
5475000,57,2292,2
4025000,52,2931,2
3900000,37.3,1518,2
7650000,90,4562,4
4100000,51,2727,2
3800000,57,3243,2
2860000,30,1359,1
3825000,35.5,2169,2
6700000,54,3542,2
2800000,40,3166,1
4600000,46,1408,2
4175000,62,3574,2
5400000,67.5,3999,2
3340000,40,1860,1
5285000,60,3030,2
3150000,35,1139,2
4700000,57,3089,2
7200000,77,3374,3
2810000,27,1537,1
5875000,57,2425,2
7e+06,82.5,3991,3
6025000,59,2310,2
3900000,34,1706,1
3105000,35,2344,1
7230000,84,2283,3
5100000,67.5,2627,2
4450000,46,2017,2
4075000,41,2198,2
1e+07,100,3013,3
5430000,60,2751,2
3400000,54,3425,1
2560000,21,1010,1
3585000,44,2143,2
3250000,25,561,1
6950000,73,2874,2
